Date,Close,MA_20,MA_50
2023-06-05,25760.09765625,27012.8810546875,27753.7283984375
2023-06-06,27238.783203125,27004.880078125,27709.6031640625
2023-06-07,26345.998046875,26980.56953125,27628.5720703125
2023-06-08,26508.216796875,26961.47392578125,27582.2828125
2023-06-09,26480.375,26929.01337890625,27546.970546875
2023-06-10,25851.240234375,26883.88408203125,27518.4571484375
2023-06-11,25940.16796875,26838.32861328125,27480.9105078125
2023-06-12,25902.5,26772.16728515625,27447.1328125
2023-06-13,25918.728515625,26751.36279296875,27415.0005859375
2023-06-14,25124.67578125,26683.78623046875,27351.3421484375
2023-06-15,25576.39453125,26626.64140625,27294.416015625
2023-06-16,26327.462890625,26599.596875,27231.48953125
2023-06-17,26510.67578125,26520.84833984375,27174.8978125
2023-06-18,26336.212890625,26450.36474609375,27116.6523046875
2023-06-19,26851.029296875,26407.79873046875,27068.2967578125
2023-06-20,28327.48828125,26463.190234375,27073.01515625
2023-06-21,30027.296875,26623.5564453125,27099.9503515625
2023-06-22,29912.28125,26756.691015625,27118.0698046875
2023-06-23,30695.46875,26937.7080078125,27155.0249609375
2023-06-24,30548.6953125,27109.189453125,27175.311171875
2023-06-25,30480.26171875,27345.19765625,27206.8239453125
2023-06-26,30271.130859375,27496.8150390625,27243.1469921875
2023-06-27,30688.1640625,27713.92333984375,27303.0248046875
2023-06-28,30086.24609375,27892.8248046875,27351.57421875
2023-06-29,30445.3515625,28091.0736328125,27408.0461328125
2023-06-30,30477.251953125,28322.37421875,27477.575390625
2023-07-01,30590.078125,28554.8697265625,27553.2771484375
2023-07-02,30620.76953125,28790.783203125,27630.0109765625
2023-07-03,31156.439453125,29052.66875,27714.5269921875
2023-07-04,30777.58203125,29335.3140625,27786.224765625
2023-07-05,30514.166015625,29582.20263671875,27855.775078125
2023-07-06,29909.337890625,29761.29638671875,27905.98578125
2023-07-07,30342.265625,29952.87587890625,27976.1869140625
2023-07-08,30292.541015625,30150.69228515625,28044.23515625
2023-07-09,30171.234375,30316.7025390625,28105.068125
2023-07-10,30414.470703125,30421.05166015625,28178.281015625
2023-07-11,30620.951171875,30450.734375,28253.6744921875
2023-07-12,30391.646484375,30474.70263671875,28316.992890625
2023-07-13,31476.048828125,30513.731640625,28419.8175
2023-07-14,30334.068359375,30503.00029296875,28496.9747265625
2023-07-15,30295.806640625,30493.7775390625,28568.5050390625
2023-07-16,30249.1328125,30492.67763671875,28636.120625
2023-07-17,30145.888671875,30465.5638671875,28677.32546875
2023-07-18,29856.5625,30454.0796875,28719.5390234375
2023-07-19,29913.923828125,30427.50830078125,28763.7705078125
2023-07-20,29792.015625,30393.246484375,28815.21765625
