Date,Close,MA_20,MA_50
2020-11-13,474.6264343261719,418.43214416503906,388.45214416503904
2020-11-14,460.14984130859375,421.1287475585938,390.6114758300781
2020-11-15,447.55908203125,423.8122863769531,392.4528955078125
2020-11-16,459.9403076171875,426.6094497680664,394.5029315185547
2020-11-17,480.3600769042969,431.1949157714844,397.00694458007814
2020-11-18,479.48406982421875,435.8326141357422,399.4014782714844
2020-11-19,471.63043212890625,440.2731369018555,401.63532958984376
2020-11-20,509.74456787109375,446.4308486938477,404.76610290527344
2020-11-21,549.4866333007812,454.08727111816404,408.83105712890625
2020-11-22,558.068115234375,462.8328399658203,413.0619775390625
2020-11-23,608.4540405273438,473.87543334960935,418.1794781494141
2020-11-24,603.8977661132812,483.96322174072264,423.1782977294922
2020-11-25,570.6866455078125,491.7941864013672,427.77571350097656
2020-11-26,518.8011474609375,494.99827880859374,431.3155633544922
2020-11-27,517.4937133789062,499.0873077392578,434.6501147460938
2020-11-28,538.2297973632812,503.32105865478513,438.10290100097654
2020-11-29,575.758056640625,509.9008087158203,442.19871032714843
2020-11-30,614.842529296875,518.1589538574219,446.9927197265625
2020-12-01,587.3241577148438,524.3771347045898,450.98457763671877
2020-12-02,598.3523559570312,531.2444885253906,455.3278094482422
2020-12-03,616.708740234375,538.3486038208008,460.0723034667969
2020-12-04,569.3541870117188,543.808821105957,463.9105505371094
2020-12-05,596.595458984375,551.2606399536132,468.5178796386719
2020-12-06,601.9089965820312,558.3590744018554,473.17894104003904
2020-12-07,591.8433837890625,563.9332397460937,477.4515350341797
2020-12-08,554.8277587890625,567.7004241943359,480.94937805175783
2020-12-09,573.4791259765625,572.7928588867187,485.0362225341797
2020-12-10,559.6785278320312,575.2895568847656,488.38599365234376
2020-12-11,545.79736328125,575.105093383789,491.0264813232422
2020-12-12,568.5673217773438,575.6300537109375,494.2024938964844
2020-12-13,589.6632080078125,574.6905120849609,497.7466058349609
2020-12-14,586.0111694335938,573.7961822509766,501.3424737548828
2020-12-15,589.3555908203125,574.7296295166016,505.2518194580078
2020-12-16,636.1818237304688,580.5986633300781,509.89551513671876
2020-12-17,642.8689575195312,586.8674255371094,514.9798791503906
2020-12-18,654.8119506835938,592.696533203125,520.3415161132813
2020-12-19,659.2979125976562,596.8735260009765,525.8710748291015
2020-12-20,638.2908325195312,598.0459411621093,530.9050848388672
2020-12-21,609.81787109375,599.1706268310547,535.1742785644532
2020-12-22,634.8541870117188,600.995718383789,540.2082275390625
2020-12-23,583.714599609375,599.3460113525391,544.1304760742188
2020-12-24,611.607177734375,601.4586608886718,548.3197796630859
2020-12-25,626.4107055664062,602.9494232177734,552.5666467285156
2020-12-26,635.8358154296875,604.6457641601562,556.1889770507812
2020-12-27,682.642333984375,609.1857116699218,561.1275610351563
2020-12-28,730.3973388671875,617.9641906738282,566.6644122314453
2020-12-29,731.5201416015625,625.8662414550781,572.4115539550781
2020-12-30,751.6189575195312,635.4632629394531,578.4503405761719
2020-12-31,737.8034057617188,645.0635650634765,583.9471978759766
2021-01-01,730.3675537109375,653.1535766601562,589.334443359375
2021-01-02,774.5349731445312,662.3971649169922,595.3326141357422
2021-01-03,975.5076904296875,681.8719909667968,605.639771118164
